Supercharger,Street Address,City of Industry,State,Zip,Country,Stalls,Kw,GPS,Elev
"Sacramento, CA",3668 North Freeway Blvd,Sacramento,CA,95834,USA,10,150,"38.637729, -121.49718",4
"Salinas, CA",1606 North Main St,Salinas,CA,93906,USA,14,150,"36.715699, -121.653992",29
"Monterey, CA",1100 Del Monte Center,Monterey,CA,93940,USA,14,250,"36.585729, -121.898765",67
"Baker, CA",71808 Baker Blvd,Baker,CA,97035,USA,40,150,"35.262495, -116.08079",283
"Westminster, CA",1025 Westminster Mall,Westminster,CA,92683,USA,24,72,"33.745288, -118.012279",8
"Concord, CA",2001 Diamond Blvd,Concord,CA,94520,USA,19,150,"37.970453, -122.058384",10
"Santa Clarita, CA",23975 Newhall Ranch Rd,Santa Clarita,CA,91355,USA,32,250,"34.431041, -118.554319",344
"Cottonwood, CA",20635 Gas Point Rd,Cottonwood,CA,96022,USA,12,250,"40.389145, -122.288208",135
"Fairfield - Travis Blvd, CA",1350 Travis Blvd,Fairfield,CA,94533,USA,12,150,"38.26175, -122.0524",10
"Riverside, CA",3878 Market St,Riverside,CA,92501,USA,24,72,"33.981393, -117.37577",258
"Fremont, CA",45500 Fremont Blvd,Fremont,CA,94538,USA,12,250,"37.492754, -121.944796",7
"Sunnyvale - W McKinley Ave, CA",298 W McKinley Ave,Sunnyvale,CA,94086,USA,10,120,"37.373421, -122.033114",10
"Truckee - Soaring Way, CA",10001 Soaring Way,Truckee,CA,96161,USA,16,250,"39.319501, -120.155831",1804
"Gilroy, CA",681 Leavesley Rd,Gilroy,CA,95020,USA,16,150,"37.02493, -121.56542",63
"Cabazon, CA",48400 Seminole Dr,Cabazon,CA,92230,USA,16,150,"33.93129, -116.820041",620
"Redding, CA",880 Sundial Bridge Dr,Redding,CA,96001,USA,8,250,"40.590042, -122.378506",149
"Kettleman City, CA",33360 Powers Dr,Kettleman City,CA,93239,USA,40,250,"35.987651, -119.962336",100
"Anaheim, CA",8148 E Santa Ana Canyon Rd,Anaheim,CA,92808,USA,20,72,"33.866724, -117.747373",135
"Yermo, CA",36017 Calico Rd,Yermo,CA,92398,USA,22,150,"34.907217, -116.835801",590
"Burbank - North Third St, CA","501 N 3rd St, Top Parking Level",Burbank,CA,91502,USA,20,150,"34.18487, -118.311672",190
"Harris Ranch, CA",24505 W Dorris Ave,Coalinga,CA,93210,USA,18,150,"36.25415, -120.237896",139
"Yuba City, CA",1475 Tharp Rd,Yuba City,CA,95993,USA,10,150,"39.147833, -121.647861",17
"San Diego - Camino Del Sur, CA",17170 Camino Del Sur,San Diego,CA,92127,USA,16,72,"33.020052, -117.126278",164
"Sacramento - Arden Way, CA",1689 Arden Way,Sacramento,CA,95815,USA,19,72,"38.603327, -121.42853",10
"San Mateo - 2940 S Norfolk St, CA",2940 S Norfolk St,San Mateo,CA,94403,USA,12,250,"37.543787, -122.285551",2
"San Ramon - Diablo Plaza, CA",2415 San Ramon Valley Blvd,San Ramon,CA,94583,USA,20,72,"37.774766, -121.979789",153
"Menifee, CA",30340 Haun Rd,Menifee,CA,92584,USA,20,150,"33.679646, -117.174095",435
"Windsor, CA",8852 Lakewood Dr,Windsor,CA,95492,USA,12,250,"38.549856, -122.805465",39
"Lake Elsinore, CA",17600 Collier Ave,Lake Elsinore,CA,92530,USA,21,150,"33.698437, -117.349113",388
"Napa, CA",Devlin Rd & Airport Blvd,Napa,CA,94558,USA,12,150,"38.2356, -122.264",15
"San Luis Obispo, CA","Madonna Inn, 100 Madonna Rd",San Luis Obispo,CA,93405,USA,18,250,"35.265182, -120.676288",47
"San Jose - Blossom Hill Rd, CA",1375 Blossom Hill Rd,San Jose,CA,95118,USA,18,72,"37.244638, -121.891141",68
"Rancho Cucamonga, CA",12505 North Main St,Rancho Cucamonga,CA,91739,USA,12,150,"34.113592, -117.529406",381
"Crescent City, CA",1000 Front St,Crescent City,CA,95531,USA,6,150,"41.752393, -124.1944",4
"San Jose - Santana Row, CA",330 Winchester Blvd,San Jose,CA,95128,USA,26,72,"37.322234, -121.949226",41
"Thousand Oaks - East Thousand Oaks Blvd, CA",180 Promenade Way,Thousand Oaks,CA,91362,USA,24,150,"34.158291, -118.82363",289
"Irvine - Michelson Dr, CA",3021 Michelson Dr,Irvine,CA,92612,USA,12,72,"33.673394, -117.844666",8
"Manhattan Beach, CA",3200 N Sepulveda Blvd,Manhattan Beach,CA,90266,USA,24,72,"33.901472, -118.393833",37
"Morgan Hill, CA",1061 Cochrane Rd,Morgan Hill,CA,95037,USA,14,72,"37.156827, -121.653693",117
"Los Angeles - W Olympic Blvd, CA",11355 W Olympic Blvd,Los Angeles,CA,90064,USA,16,250,"34.03818, -118.443301",58
"Watsonville, CA",1415 Main St,Watsonville,CA,95076,USA,18,72,"36.916349, -121.773512",15
"Carlsbad, CA",7710 El Camino Real,Carlsbad,CA,92009,USA,26,72,"33.084189, -117.266384",25
"Los Gatos, CA",192 Saratoga Los Gatos Rd,Los Gatos,CA,95030,USA,20,72,"37.229926, -121.979384",116
"Downey - Lakewood Blvd, CA",9588 Lakewood Blvd,Downey,CA,90240,USA,12,72,"33.953335, -118.112914",42
"Pasadena, CA",155 E Green St,Pasadena,CA,91105,USA,24,72,"34.144835, -118.146609",258
"Rohnert Park, CA",475 Rohnert Park Expy W,Rohnert Park,CA,94928,USA,12,150,"38.3475, -122.720944",30
"Corona, CA",2615 Tuscany St,Corona,CA,92881,USA,20,72,"33.826338, -117.515411",258
"Fontana, CA",15234 Summit Ave,Fontana,CA,92336,USA,24,72,"34.151177, -117.471412",480
"Milpitas, CA",901 East Calaveras Blvd,Milpitas,CA,95035,USA,16,150,"37.434536, -121.891387",10
"Los Angeles - Francisco St, CA",899 South Francisco St,Los Angeles,CA,90015,USA,10,72,"34.047424, -118.264589",77
"Ojai, CA",987 W Ojai Ave,Ojai,CA,93023,USA,12,72,"34.441994, -119.258898",236
"Pleasanton - Johnson Dr, CA",6000 Johnson Dr,Pleasanton,CA,94588,USA,10,72,"37.700508, -121.908364",100
"El Cerrito, CA",180 El Cerrito Plz,El Cerrito,CA,94530,USA,14,72,"37.898575, -122.30073",10
"Novato, CA",208 Vintage Way,Novato,CA,94945,USA,20,150,"38.089447, -122.551755",3
"San Francisco - Letterman Drive, CA",Truby St,San Francisco,CA,94129,USA,6,72,"37.798513, -122.449846",19
"Glendale, CA","877 Americana Way, Parking level 7",Glendale,CA,91210,USA,20,72,"34.145099, -118.256433",161
"San Ramon, CA",2610 Bishop Dr,San Ramon,CA,94583,USA,16,150,"37.76292, -121.963662",140
"Santa Rosa, CA",380 Coddingtown Way,Santa Rosa,CA,95401,USA,20,250,"38.459554, -122.73023",45
"Petaluma, CA",401 Kenilworth Dr #1030,Petaluma,CA,94952,USA,20,150,"38.242693, -122.625049",8
"San Carlos, CA",1127 Industrial Rd,San Carlos,CA,94070,USA,19,72,"37.502912, -122.245569",3
"Milpitas - Great Mall, CA",1234 Great Mall Dr,Milpitas,CA,95035,USA,20,72,"37.413353, -121.897995",11
"Livermore, CA",2774 Livermore Outlets Dr,Livermore,CA,94551,USA,20,72,"37.700349, -121.841063",110
"Fairfield - Holiday Lane, CA",1350 Holiday Ln,Fairfield,CA,94534,USA,12,150,"38.256667, -122.065139",12
"Santa Monica - Santa Monica Place, CA",395 Santa Monica Place,Santa Monica,CA,90401,USA,14,72,"34.013087, -118.493843",20
"Laytonville, CA",45020 North Highway 101,Laytonville,CA,95454,USA,8,150,"39.689269, -123.483443",502
"La Mesa, CA",8765 Fletcher Pkwy,La Mesa,CA,91942,USA,12,250,"32.7808724, -117.0135593",158
"Tejon Ranch, CA",5602 Dennis McCarthy Dr,Lebec,CA,93243,USA,24,150,"34.98734, -118.94623",337
"Palo Alto - Stanford Shopping Center, CA",660 Stanford Shopping Center,Palo Alto,CA,94304,USA,20,72,"37.441722, -122.170271",22
"Hayward, CA",19661 Hesperian Blvd,Hayward,CA,94541,USA,16,72,"37.667227, -122.120338",12
"Manteca - Perimeter Dr, CA",960 Perimeter Dr,Manteca,CA,95337,USA,20,150,"37.782622, -121.228683",9
"Napa - Factory Stores Drive, CA",629 Factory Stores Dr,Napa,CA,94558,USA,20,150,"38.297635, -122.302617",15
"Corte Madera, CA",1618 Redwood Hwy,Corte Madera,CA,94925,USA,10,72,"37.928278, -122.514823",3
"Ukiah - N State St, CA",1315 N State St,Ukiah,CA,95482,USA,12,250,"39.168351, -123.210046",191
"Big Sur - Ventana, CA",48123 Highway 1,Big Sur,CA,93920,USA,8,72,"36.226876, -121.761506",324
"Antioch, CA",5769 Lone Tree Way,Antioch,CA,94531,USA,10,150,"37.963695, -121.737262",34
"Rancho Mirage, CA",71800 CA-111,Rancho Mirage,CA,92270,USA,24,72,"33.741311, -116.409258",70
"San Jose - Coleman Ave, CA",533 Coleman Ave,San Jose,CA,95110,USA,12,150,"37.339661, -121.905085",24
"Chico, CA",1951 E 20th St,Chico,CA,95928,USA,18,150,"39.726633, -121.802538",70
"Palm Springs, CA",N Museum Dr at N Belardo Rd,Palm Springs,CA,92262,USA,24,250,"33.824931, -116.548824",143
"Alameda, CA",523 South Shore Center,Alameda,CA,94501,USA,12,150,"37.756265, -122.249306",3
"Marin City - Donahue St, CA",190 Donahue St,Sausalito,CA,94965,USA,16,72,"37.872835, -122.510499",3
"Placerville - Broadway, CA",1184 Broadway,Placerville,CA,95667,USA,12,150,"38.730606, -120.788085",578
"San Diego - A Street, CA",1350 6th Ave,San Diego,CA,92101,USA,16,72,"32.719384, -117.159567",28
"Los Altos, CA",4800 El Camino Real,Los Altos,CA,94022,USA,16,72,"37.398894, -122.110682",24
"Mission Viejo, CA",555 Shops Blvd,Mission Viejo,CA,92691,USA,10,72,"33.557279, -117.668035",120
"Walnut Creek - Plaza Escuela, CA",1181 Locust St,Walnut Creek,CA,94596,USA,24,72,"37.895277, -122.061828",50
"Elk Grove - Elk Grove Blvd, CA",8451 Elk Grove Blvd,Elk Grove,CA,95758,USA,16,250,"38.409389, -121.391028",11
"San Diego - Friars Rd, CA",7007 Friars Rd,San Diego,CA,92108,USA,48,250,"32.769144, -117.166271",11
"Manteca - Spreckels Ave, CA",280 Spreckels Ave,Manteca,CA,95366,USA,12,250,"37.795975, -121.19771",13
"Lincoln - Groveland Lane, CA",950 Groveland Ln,Lincoln,CA,95648,USA,8,250,"38.869969, -121.303187",44
"Sacramento - Freeport Blvd, CA",4700 Freeport Blvd,Sacramento,CA,95822,USA,8,250,"38.533691, -121.4961",6
"Mojave - Sierra Hwy, CA",16246 Sierra Hwy,Mojave,CA,93501,USA,12,250,"35.056876, -118.174706",845
"Riverside - Canyon Springs Pkwy, CA",2755 Canyon Springs Pkwy,Riverside,CA,92507,USA,16,250,"33.939957, -117.282508",486
"Anaheim - E Katella Ave, CA",2404 E Katella Ave,Anaheim,CA,92806,USA,16,250,"33.805168, -117.882173",49
"Madera - Ave 7, CA",32685 Ave 7,Madera,CA,93637,USA,16,250,"36.851569, -119.950611",87
"Bakersfield - S Enos Ln, CA",9741 S Enos Ln,Bakersfield,CA,93311,USA,12,250,"35.266688, -119.253836",93
"San Bernardino, CA",400 Inland Center Dr,San Bernardino,CA,92408,USA,14,72,"34.08407, -117.299314",304
"San Jose - Cherry Avenue, CA",5160 Cherry Ave,San Jose,CA,95118,USA,24,72,"37.258506, -121.871476",56
"Thousand Oaks - West Hillcrest Drive, CA",350 West Hillcrest Dr,Thousand Oaks,CA,91360,USA,20,72,"34.18445, -118.890747",202
"Tahoe City, CA",140 N. Lake Blvd,Tahoe City,CA,96145,USA,6,150,"39.167793, -120.14453",1901
"Cerritos - Los Cerritos Center, CA",239 Los Cerritos Center,Cerritos,CA,90703,USA,20,72,"33.8643904, -118.0915723",17
"South San Francisco, CA",250 Gateway Blvd,South San Francisco,CA,94080,USA,20,72,"37.655243, -122.401321",7
"Hawthorne - El Segundo Blvd, CA",4427 W El Segundo Blvd,Hawthorne,CA,90250,USA,12,72,"33.918036, -118.353197",22
"Palmdale, CA",1233 Rancho Vista Blvd,Palmdale,CA,93551,USA,20,250,"34.606207, -118.151386",815
"Roseville - Galleria Boulevard, CA",1112 Galleria Blvd,Roseville,CA,95678,USA,20,150,"38.767949, -121.263356",69
"Red Bluff, CA",94 Belle Mill Rd,Red Bluff,CA,96080,USA,8,250,"40.182152, -122.227452",82
"Pismo Beach, CA",333 Five Cities Dr,Pismo Beach,CA,93449,USA,12,250,"35.136408, -120.628662",12
"Hermosa Beach, CA",710 16th St,Hermosa Beach,CA,90254,USA,20,250,"33.864955, -118.394819",25
"Beaumont, CA",1551 E 2nd St,Beaumont,CA,92223,USA,20,250,"33.922543, -116.949167",779
"Santa Clara, CA",3945 Rivermark Plaza,Santa Clara,CA,95054,USA,16,72,"37.394816, -121.945157",6
"Santa Cruz, CA",911 Soquel Ave,Santa Cruz,CA,95062,USA,16,250,"36.978635, -122.013968",23
"San Francisco – Van Ness Ave, CA",601 Van Ness Ave,San Francisco,CA,94102,USA,12,72,"37.781296, -122.421394",26
"Modesto - Sisk Rd, CA",3900 Sisk Rd,Modesto,CA,95356,USA,12,250,"37.694343, -121.064215",22
"Napa - Bel Aire Plaza, CA",4000 Bel Aire Plaza,Napa,CA,94558,USA,12,250,"38.321869, -122.307381",22
"Greenbrae, CA","Bon Air Center, Sir Francis Drake Blvd",Greenbrae,CA,94904,USA,14,72,"37.944776, -122.522706",4
"Traver, CA",36005 CA-99,Traver,CA,93673,USA,16,250,"36.44881, -119.486404",87
"Menlo Park, CA",325 Sharon Park Dr,Menlo Park,CA,94025,USA,18,72,"37.423372, -122.198189",59
"Torrance, CA",3490 Fashion Way,Torrance,CA,90503,USA,20,250,"33.834811, -118.349039",26
"Chula Vista, CA",910 Eastlake Pkwy,Chula Vista,CA,91915,USA,16,250,"32.649168, -116.9676",168
"Moreno Valley, CA",22330 Cactus Ave,Moreno Valley,CA,92553,USA,12,250,"33.9105668, -117.2733601",474
"Malibu - Whole Foods and the Park, CA",23401 Civic Center Way,Malibu,CA,90265,USA,5,72,"34.037043, -118.685809",5
"Malibu, CA",3862 Cross Creek Rd,Malibu,CA,90265,USA,8,250,"34.036024, -118.684095",4
"Greenfield, CA",560 Walnut Ave,Greenfield,CA,93927,USA,12,250,"36.32925, -121.245444",86
"San Mateo - Hillsdale Boulevard, CA",1308 W Hillsdale Blvd,San Mateo,CA,94403,USA,12,250,"37.533306, -122.327472",108
"Sand City, CA",2040 California Ave,Sand City,CA,93955,USA,12,250,"36.621976, -121.844208",16
"Olema, CA",10005 Coastal Hwy 1,Olema,CA,94950,USA,6,150,"38.040224, -122.788345",18
"Mt. Shasta - 134 Morgan Way, CA",134 Morgan Way,Mt. Shasta,CA,96067,USA,16,150,"41.310348, -122.316039",1070
"Cupertino - Stevens Creek Blvd, CA",20745 Stevens Creek Blvd,Cupertino,CA,95014,USA,28,250,"37.324722, -122.03684",76
"San Clemente - Av. Vista Hermosa, CA",990 Avenida Vista Hermosa,San Clemente,CA,92673,USA,16,250,"33.463091, -117.60783",124
"Williams - 6th St, CA",464 6th St,Williams,CA,95987,USA,12,250,"39.15608, -122.149408",25
"Placerville, CA",3968 Missouri Flat Rd,Placerville,CA,95667,USA,8,250,"38.709815, -120.842293",528
"Patterson - Speno Dr, CA",2959 Speno Dr,Patterson,CA,95363,USA,8,250,"37.466496, -121.174403",60
"San Diego - Balboa Ave, CA",5617 Balboa Ave,San Diego,CA,92111,USA,16,250,"32.818922, -117.179792",112
"San Francisco - 16th St, CA",2300 16th St,San Francisco,CA,94103,USA,12,72,"37.766033, -122.408981",20
"Loomis, CA",6119 Horseshoe Bar Rd,Loomis,CA,95650,USA,8,250,"38.817444, -121.189472",115
"Dublin - Dublin Blvd, CA",2800 Dublin Blvd,Dublin,CA,94568,USA,10,150,"37.703993, -121.852249",109
"Simi Valley - Tierra Rejada Rd, CA",51 Tierra Rejada Rd,Simi Valley,CA,93065,USA,16,250,"34.272167, -118.797139",220
"San Fernando - Celis St, CA",1011 Pico St,San Fernando,CA,91340,USA,12,250,"34.281483, -118.44167",323
"Pasadena - E Glenarm St, CA",Cnr Glenarm St and Arroyo Pkwy,Pasadena,CA,91106,USA,20,250,"34.12699, -118.147727",230
"Bell - 4416 Gage Ave, CA",4416 Gage Ave,Bell,CA,90201,USA,8,250,"33.977915, -118.188681",44
"San Diego - Camino De La Plaza, CA",4211 Camino De La Plaza,San Ysidro,CA,92173,USA,8,250,"32.54462, -117.042305",16
"Clovis, CA",870 Herndon Ave,Clovis,CA,93612,USA,12,250,"36.836939, -119.6982",112
"Vacaville - Harbison Dr, CA",2098 Harbison Dr,Vacaville,CA,95687,USA,12,250,"38.362178, -121.963212",38
"Concord - Diamond Blvd, CA",1975 Diamond Blvd,Concord,CA,94520,USA,16,250,"37.969947, -122.058491",11
"San Ramon - San Ramon Valley Blvd, CA",21001 San Ramon Valley Blvd,San Ramon,CA,94583,USA,16,250,"37.723081, -121.944252",135
"Yreka, CA",1808 Fort Jones Rd,Yreka,CA,96097,USA,12,250,"41.701506, -122.645108",833
"Fort Bragg, CA",101 Boatyard Dr,Fort Bragg,CA,95437,USA,12,250,"39.421063, -123.807299",32
"Inyokern - Locust Ave, CA",6525 Inyokern Rd,Inyokern,CA,93527,USA,12,250,"35.646509, -117.81326",744
"Jackson, CA",31 CA-88,Jackson,CA,95642,USA,8,250,"38.347998, -120.7766",374
"Stockton, CA",2323 Grand Canal Blvd,Stockton,CA,95207,USA,12,250,"37.984978, -121.335924",3
"Firebaugh, CA",46272 W Panoche Rd,Firebaugh,CA,93622,USA,56,250,"36.639287, -120.625451",146
"Bishop, CA",151 S Warren St,Bishop,CA,93514,USA,12,250,"37.360397, -118.396963",1263
"Rowland Heights, CA",17247 Colima Rd,Rowland Heights,CA,91748,USA,8,72,"33.991811, -117.92803",135
"San Jose - Holger Way, CA",95 Holger Wy,San Jose,CA,95134,USA,14,72,"37.417281, -121.956897",3
"Hesperia, CA",12795 Main St,Hesperia,CA,92345,USA,20,250,"34.424864, -117.385861",1077
"Emeryville - Christie Ave, CA",5795 Christie Ave,Emeryville,CA,94608,USA,12,250,"37.837506, -122.295407",4
"Santa Ana - E 5th St, CA",300 E 5th St,Santa Ana,CA,92701,USA,20,72,"33.748796, -117.866115",37
"Woodland, CA",2185 Bronze Star Dr,Woodland,CA,95776,USA,8,250,"38.671368, -121.723893",11
"Sunnyvale - S Bernardo Ave, CA",639 S Bernardo Ave,Sunnyvale,CA,94087,USA,16,250,"37.372668, -122.057332",45
"Sacramento - J St, CA",500 David J Stern Walk,Sacramento,CA,95814,USA,20,250,"38.580186, -121.499476",9
"Fremont - Pacific Commons, CA",43950 Pacific Commons Blvd,Fremont,CA,94538,USA,16,250,"37.502482, -121.968927",6
"Roseville - Douglas Blvd, CA",1925 Douglas Blvd,Roseville,CA,95661,USA,16,250,"38.745316, -121.253384",61
"Emeryville - Shellmound St, CA",5901 Shellmound St,Emeryville,CA,94608,USA,12,250,"37.840449, -122.293936",3
"Davis, CA",2151 Cowell Blvd,Davis,CA,95618,USA,16,250,"38.542553, -121.725827",13
"Gilroy - Camino Arroyo, CA",6705 Camino Arroyo,Gilroy,CA,95020,USA,12,250,"37.000817, -121.554338",57
"Oakland - 2nd St, CA",255 2nd St,Oakland,CA,94607,USA,12,72,"37.794153, -122.272578",4
"San Luis Obispo - Los Osos Valley Rd, CA",11990 Los Osos Valley Rd,San Luis Obispo,CA,93405,USA,16,250,"35.253753, -120.684317",38
"Eastvale - Limonite Ave, CA",12571 Limonite Ave,Eastvale,CA,91752,USA,16,250,"33.976911, -117.55442",203
"Santa Ysabel, CA",30270 CA-78,Santa Ysabel,CA,92070,USA,8,250,"33.109253, -116.674419",910
"Fountain Valley - Warner Ave, CA",9380 Warner Ave,Fountain Valley,CA,92708,USA,12,250,"33.715666, -117.964945",9
"Montecito, CA",1595 S Jameson Ln,Santa Barbara,CA,93108,USA,8,72,"34.421527, -119.631377",3
"Merced - Martin Luther King Junior Way, CA",1425 Martin Luther King Jr Way,Merced,CA,95340,USA,12,250,"37.297988, -120.483354",52
"Glendale - Harvey Dr, CA",310 Harvey Dr,Glendale,CA,91206,USA,16,250,"34.148107, -118.227151",208
"San Diego - Clairemont Mesa Blvd, CA",7373 Clairemont Mesa Blvd,San Diego,CA,92111,USA,12,250,"32.831963, -117.159547",32
"San Bruno - San Bruno Ave, CA",2801 San Bruno Ave W,San Bruno,CA,94066,USA,12,250,"37.618905, -122.440524",144
"Redlands - W Stuart Ave, CA",275 W Stuart Ave,Redlands,CA,92373,USA,20,250,"34.059384, -117.185405",408
"San Francisco - Geary Blvd, CA",2675 Geary Blvd,San Francisco,CA,94118,USA,34,250,"37.781806, -122.446146",94
"Copperopolis, CA",100 Town Square Rd,Copperopolis,CA,95228,USA,12,250,"37.972864, -120.653276",278
"Granada Hills, CA",10823 Zelzah Ave,Granada Hills,CA,91344,USA,20,250,"34.266234, -118.526633",316
"Seaside, CA",1901 Del Monte Blvd,Seaside,CA,93955,USA,6,150,"36.616759, -121.844014",10
"San Jose - 925 Blossom Hill Rd, CA",925 Blossom Hill Rd,San Jose,CA,95123,USA,24,250,"37.250854, -121.860731",55
"San Juan Capistrano, CA",31971 Camino Capistrano,San Juan Capistrano,CA,92675,USA,7,125,"33.498458, -117.6632",30
"Truckee - Brockway Rd, CA",The Rock 11209 Brockway Rd,Truckee,CA,96161,USA,8,150,"39.321865, -120.1621",1801
"Lone Pine, CA",701 S Main St,Lone Pine,CA,93545,USA,16,250,"36.60059, -118.061916",1137
"Cameron Park, CA",3501 Robin Lane,Cameron Park,CA,95682,USA,12,250,"38.655825, -120.965651",405
"Eureka, CA","Bayshore Mall, 3300 Broadway St",Eureka,CA,95501,USA,8,150,"40.778885, -124.188383",6
"Culver City, CA",6000 Hannum Ave,Culver City,CA,90230,USA,16,150,"33.986779, -118.390213",13
"Elk Grove - 7119 Elk Grove Blvd, CA",7119 Elk Grove Blvd,Elk Grove,CA,95758,USA,12,250,"38.4099, -121.4181",10
"Dublin - Amador Plaza, CA",6701 Amador Plaza Rd,Dublin,CA,94568,USA,16,150,"37.703183, -121.925327",103
"San Diego - Mira Mesa Blvd, CA",8251 Mira Mesa Blvd,San Diego,CA,92126,USA,16,250,"32.911707, -117.145653",130
